GEOID,distr_name,total_worker_pop,info,finance_realest,prof_sci_mgmt_adm,edu_health,arts_ent_food_rec,otherserv,public_admin,agro,construct,manufact,wholesale,retail,transport_util
5001600US1711,"Congressional District 11 (116th Congress), Illinois",369484,8449,26195,45912,76364,34067,16290,10295,1119,20778,45241,12852,43158,28764
5001600US1712,"Congressional District 12 (116th Congress), Illinois",304420,3841,16368,25202,78794,29198,14889,17910,5551,17401,32181,7065,36033,19987
5001600US1713,"Congressional District 13 (116th Congress), Illinois",333863,5773,20513,25470,98222,35052,15669,15818,6409,16239,32650,7686,37466,16896
5001600US1714,"Congressional District 14 (116th Congress), Illinois",379628,6967,28715,45157,78930,30559,16431,12069,3324,25085,53767,14457,45249,18918
5001600US1715,"Congressional District 15 (116th Congress), Illinois",315171,4630,16104,17837,78065,22935,15028,13261,15732,20076,49235,8920,35294,18054
5001600US1716,"Congressional District 16 (116th Congress), Illinois",333234,4512,16004,23262,74699,28010,15584,11961,9281,20483,57843,9177,40052,22366
5001600US1717,"Congressional District 17 (116th Congress), Illinois",309563,4359,13941,22872,73109,27587,14703,10898,6651,17263,54613,7435,37094,19038
5001600US1718,"Congressional District 18 (116th Congress), Illinois",341588,5175,32664,26667,85479,24397,15570,18513,9985,18374,39442,10276,38680,16366
5001600US17ZZ,"Congressional Districts not defined (116th Congress), Illinois",0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001600US1801,"Congressional District 1 (116th Congress), Indiana",321867,4221,15214,27846,75758,32394,15683,10803,1543,21192,53403,7294,35383,21133
5001600US1802,"Congressional District 2 (116th Congress), Indiana",338408,4404,13055,21508,75297,25804,16110,8926,4782,17304,92000,8427,35905,14886
5001600US1803,"Congressional District 3 (116th Congress), Indiana",357608,5971,18052,24439,72937,28423,17638,8135,5190,20492,92564,9946,38622,15199
5001600US1804,"Congressional District 4 (116th Congress), Indiana",364756,5406,15419,27738,88711,29310,16327,11694,6402,23084,71311,8546,40407,20401
5001600US1805,"Congressional District 5 (116th Congress), Indiana",391963,8821,33442,49942,96004,33803,19298,13106,2949,17767,49410,11384,40485,15552
5001600US1806,"Congressional District 6 (116th Congress), Indiana",338605,3525,14832,23452,78872,28477,13898,12460,6006,22271,74154,7572,37127,15959
5001600US1807,"Congressional District 7 (116th Congress), Indiana",351222,5606,20875,39134,72438,36670,15411,13780,779,21180,38896,11442,46207,28804
5001600US1808,"Congressional District 8 (116th Congress), Indiana",337962,5160,14068,22935,76138,29510,14911,13431,9780,21007,68404,8400,36055,18163
5001600US1809,"Congressional District 9 (116th Congress), Indiana",362023,5785,20068,26980,89257,33919,16433,14785,3785,23291,60374,7795,40881,18670
5001600US1901,"Congressional District 1 (116th Congress), Iowa",401423,6603,25354,29214,94889,29092,16458,9819,14353,25439,71370,11040,48722,19070
5001600US1902,"Congressional District 2 (116th Congress), Iowa",389075,5504,19701,26078,106298,30071,17007,11577,11333,23921,66926,8803,44507,17349
5001600US1903,"Congressional District 3 (116th Congress), Iowa",432607,7891,59593,40656,93944,32593,18574,15606,9623,28027,40889,12880,50745,21586
5001600US1904,"Congressional District 4 (116th Congress), Iowa",386376,6083,18245,21608,97614,26387,16289,12198,25307,25644,60966,13186,44136,18713
5001600US2001,"Congressional District 1 (116th Congress), Kansas",341466,5281,14983,19453,88576,26501,16066,16776,26776,22148,43259,9855,35236,16556
5001600US2002,"Congressional District 2 (116th Congress), Kansas",343689,5666,19847,25786,92636,27541,15628,21561,9241,22325,39267,7330,38368,18493
5001600US2003,"Congressional District 3 (116th Congress), Kansas",398366,11517,36842,62976,87295,32528,16866,13576,2231,23608,35186,13831,42288,19622
5001600US2004,"Congressional District 4 (116th Congress), Kansas",345139,5576,16634,28365,84424,29973,15694,12504,8284,22739,59269,9329,37227,15121
5001600US2101,"Congressional District 1 (116th Congress), Kentucky",290094,3213,10096,18239,68302,21904,14527,12552,13139,18386,52479,5973,34868,16416
5001600US2102,"Congressional District 2 (116th Congress), Kentucky",340706,5615,15846,22662,75844,27866,15680,14467,6802,22970,62164,8702,40579,21509
5001600US2103,"Congressional District 3 (116th Congress), Kentucky",370070,7624,29130,37079,86096,38647,17232,10180,1494,17778,43741,10477,41427,29165
5001600US2104,"Congressional District 4 (116th Congress), Kentucky",357765,6128,28324,35571,77372,29979,14107,14132,4468,20830,49454,10917,41827,24656
5001600US2105,"Congressional District 5 (116th Congress), Kentucky",231651,4467,8784,14937,65611,17885,11246,12352,9328,15181,24904,3980,29966,13010
5001600US2106,"Congressional District 6 (116th Congress), Kentucky",369156,5479,16401,34080,92121,35850,17905,20464,8823,20255,50276,7851,45169,14482
5001600US2201,"Congressional District 1 (116th Congress), Louisiana",377543,5716,22831,41723,85390,40614,19514,17524,11666,32174,23971,12247,42928,21245
5001600US2202,"Congressional District 2 (116th Congress), Louisiana",342902,5623,15579,33788,77739,50271,17075,19165,4972,26761,22418,7472,39733,22306
5001600US2203,"Congressional District 3 (116th Congress), Louisiana",350503,4674,15595,27656,77191,39520,18647,13629,28757,27723,29384,9088,42349,16290
5001600US2204,"Congressional District 4 (116th Congress), Louisiana",294782,4291,12687,22672,73260,29104,16497,18983,14679,21580,23066,6564,35030,16369
5001600US2205,"Congressional District 5 (116th Congress), Louisiana",282083,5179,13475,19429,77352,26168,13717,19840,13497,19130,21025,6825,32807,13639
5001600US2206,"Congressional District 6 (116th Congress), Louisiana",383302,6152,22131,37563,88169,32908,19142,21746,8094,37405,37668,10020,42355,19949
5001600US2301,"Congressional District 1 (116th Congress), Maine",359334,7308,27017,37795,95028,33716,16259,13855,5728,23265,32696,8187,46514,11966
5001600US2302,"Congressional District 2 (116th Congress), Maine",305854,4374,14516,22775,89505,25284,14376,13659,11304,22489,26874,5849,41386,13463
5001600US2401,"Congressional District 1 (116th Congress), Maryland",361916,6003,22609,40090,86998,32299,17751,27212,6190,29423,26773,8716,41736,16116
5001600US2402,"Congressional District 2 (116th Congress), Maryland",377147,6410,23587,48667,95122,31694,18205,37445,726,22555,20434,8411,43521,20370
5001600US2403,"Congressional District 3 (116th Congress), Maryland",400821,9622,25702,64133,103992,33816,22858,39422,734,21089,17700,8684,37060,16009
5001600US2404,"Congressional District 4 (116th Congress), Maryland",397245,8386,20158,60607,85869,36996,23294,49986,511,33581,11158,6329,36840,23530
5001600US2405,"Congressional District 5 (116th Congress), Maryland",391228,6898,18549,59501,84537,29564,20420,64450,1374,33361,11470,5275,35095,20734
5001600US2406,"Congressional District 6 (116th Congress), Maryland",383938,9351,25388,70080,82303,33332,21273,35044,2674,25396,20429,6537,36918,15213
5001600US2407,"Congressional District 7 (116th Congress), Maryland",334922,5998,20812,48908,98283,28165,16859,31953,1119,14321,14907,5759,30310,17528
5001600US2408,"Congressional District 8 (116th Congress), Maryland",404116,11400,27535,81216,89113,32268,27347,46006,1747,27509,12844,5568,29985,11578
5001600US2501,"Congressional District 1 (116th Congress), Massachusetts",351407,5945,22920,28754,106810,32103,15153,15022,2747,19121,37447,8251,40883,16251
5001600US2502,"Congressional District 2 (116th Congress), Massachusetts",381281,7833,23119,39688,118478,30210,16688,14447,2438,21470,40712,8669,42165,15364
5001600US2503,"Congressional District 3 (116th Congress), Massachusetts",391830,10130,21052,54330,97749,31955,17149,13996,1501,22648,57086,8097,42223,13914
